"source_code","target_code","target_name"
"3576371000006117","I20","Ischemic Heart Disease"
"3576391000006116","I20","Ischemic Heart Disease"
"362461000006119","I20","Ischemic Heart Disease"
"3641641000006116","I20","Ischemic Heart Disease"
"3645351000006114","I20","Ischemic Heart Disease"
"36861000006113","I20","Ischemic Heart Disease"
"3699911000006119","I20","Ischemic Heart Disease"
"3699921000006110","I20","Ischemic Heart Disease"
"37443015","I20","Ischemic Heart Disease"
"3745741000006117","I20","Ischemic Heart Disease"
"3784911000006111","I20","Ischemic Heart Disease"
"3784921000006115","I20","Ischemic Heart Disease"
"3883431000006112","I20","Ischemic Heart Disease"
"39111000006114","I20","Ischemic Heart Disease"
"3920001000006119","I20","Ischemic Heart Disease"
"394541000006112","I20","Ischemic Heart Disease"
"4031011","I20","Ischemic Heart Disease"
"4032016","I20","Ischemic Heart Disease"
"408571000006116","I20","Ischemic Heart Disease"
"442204010","I20","Ischemic Heart Disease"
"447324018","I20","Ischemic Heart Disease"
"450322013","I20","Ischemic Heart Disease"
"455422014","I20","Ischemic Heart Disease"
"455423016","I20","Ischemic Heart Disease"
"455641000006112","I20","Ischemic Heart Disease"
"455651000006114","I20","Ischemic Heart Disease"
"457531000006110","I20","Ischemic Heart Disease"
"458410010","I20","Ischemic Heart Disease"
"4585951000006112","I20","Ischemic Heart Disease"
"4585961000006114","I20","Ischemic Heart Disease"
"4585971000006119","I20","Ischemic Heart Disease"
"4586031000006113","I20","Ischemic Heart Disease"
"4586041000006115","I20","Ischemic Heart Disease"
"4586051000006118","I20","Ischemic Heart Disease"
"4586091000006112","I20","Ischemic Heart Disease"
"4586101000006118","I20","Ischemic Heart Disease"
"4586111000006115","I20","Ischemic Heart Disease"
"4586131000006114","I20","Ischemic Heart Disease"
"4586141000006116","I20","Ischemic Heart Disease"
"4586151000006119","I20","Ischemic Heart Disease"
"4586171000006112","I20","Ischemic Heart Disease"
"4586181000006110","I20","Ischemic Heart Disease"
"4586201000006111","I20","Ischemic Heart Disease"
"4586211000006114","I20","Ischemic Heart Disease"
"4586221000006118","I20","Ischemic Heart Disease"
"4586241000006113","I20","Ischemic Heart Disease"
"4587511000006114","I20","Ischemic Heart Disease"
"459488019","I20","Ischemic Heart Disease"
"460681000006116","I20","Ischemic Heart Disease"
"4775881000006117","I20","Ischemic Heart Disease"
"4775891000006119","I20","Ischemic Heart Disease"
"4775931000006111","I20","Ischemic Heart Disease"
"4775981000006112","I20","Ischemic Heart Disease"
"4776011000006114","I20","Ischemic Heart Disease"
